Number of days,Seasons,state,Total Population,Number of deaths,deathConfirmed,deathIncrease,deathProbable,Number of Hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,Number of Infected People,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
0,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
1,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
2,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
3,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
4,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
5,WINTER,WA,7705281,0,,0,,0,,,0,,,,0,,,,,,0,0,0,0,,,,,,0,,0,,0,,,,,,0,,0
6,WINTER,WA,7705280,0,,0,,0,,,0,,,,0,,,,,,1,1,1,0,,,,,,0,,0,,0,,,,,,0,,0
7,WINTER,WA,7705279,0,,0,,0,,,0,,,,0,,,,,,1,1,0,0,,,,,,0,,0,,0,,,,,,0,,0
8,WINTER,WA,7705277,0,,0,,0,,,0,,,,0,,,,,,2,2,1,0,,,,,,0,,0,,0,,,,,,0,,0
9,WINTER,WA,7705275,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
10,WINTER,WA,7705273,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
11,WINTER,WA,7705271,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
12,WINTER,WA,7705269,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
13,WINTER,WA,7705267,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
14,WINTER,WA,7705265,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
15,WINTER,WA,7705263,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
16,WINTER,WA,7705261,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
17,WINTER,WA,7705259,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
18,WINTER,WA,7705257,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
19,WINTER,WA,7705255,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
20,WINTER,WA,7705253,0,,0,,0,,,0,,,,0,,,,,,2,2,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
21,WINTER,WA,7705250,0,,0,,0,,,0,,,,0,,,,,,3,3,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
22,WINTER,WA,7705247,0,,0,,0,,,0,,,,0,,,,,,3,3,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
23,WINTER,WA,7705244,0,,0,,0,,,0,,,,0,,,,,,3,3,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
24,WINTER,WA,7705239,0,,0,,0,,,0,,,,0,,,,,,5,5,2,0,,,,,,0,0,0,0,0,,,,,,0,,0
25,WINTER,WA,7705234,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
26,WINTER,WA,7705229,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
27,WINTER,WA,7705224,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
28,WINTER,WA,7705219,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
29,WINTER,WA,7705214,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
30,WINTER,WA,7705209,0,,0,,0,,,0,,,,0,,,,,,5,5,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
31,WINTER,WA,7705203,0,,0,,0,,,0,,,,0,,,,,,6,6,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
32,WINTER,WA,7705196,0,,0,,0,,,0,,,,0,,,,,,7,7,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
33,WINTER,WA,7705189,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
34,WINTER,WA,7705182,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
35,WINTER,WA,7705175,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
36,WINTER,WA,7705168,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
37,WINTER,WA,7705161,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
38,WINTER,WA,7705154,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
39,WINTER,WA,7705147,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
40,WINTER,WA,7705140,0,,0,,0,,,0,,,,0,,,,,,7,7,0,0,,,,,,0,0,0,0,0,,,,,,0,,0
41,WINTER,WA,7705132,0,,0,,0,,,0,,,,0,,,,,,8,8,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
42,WINTER,WA,7705123,0,,0,,0,,,0,,,,0,,,,,,9,9,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
43,WINTER,WA,7705113,0,,0,,0,,,0,,,,0,,,,,,10,10,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
44,WINTER,WA,7705099,2,,2,,0,,,0,,,,0,,,,,,12,12,2,0,,,,,,0,0,0,0,0,,,,,,0,,0
45,WINTER,WA,7705084,2,,0,,0,,,0,,,,0,,,,,,13,13,1,0,,,,,,0,0,0,0,0,,,,,,0,,0
46,WINTER,WA,7705065,4,,2,,0,,,0,,,,0,,,,,,15,15,2,0,,,,,,0,0,0,0,0,,,,,,0,,0
47,WINTER,WA,7705042,5,,1,,0,,,0,,,,0,,,,,,18,18,3,0,,,,,,0,42,42,42,42,,,,,41,41,,0
48,SPRING,WA,7705008,8,,3,,0,,,0,,,,0,,,,,,26,26,8,0,,,,,,0,117,75,117,75,,,,,114,73,,0
49,SPRING,WA,7704954,11,,3,,0,,,0,,,,0,,,,,,43,43,17,0,,,,,,0,305,188,305,188,,,,,298,184,,0
50,SPRING,WA,7704881,14,,3,,0,,,0,,,,0,,,,,,59,59,16,0,,,,,,0,531,226,531,226,,,,,523,225,,0
51,SPRING,WA,7704772,16,,2,,0,,,0,,,,0,,,,,,93,93,34,0,,,,,,0,782,251,782,251,,,,,768,245,,0
52,SPRING,WA,7704635,20,,4,,0,,,0,,,,0,,,,,,117,117,24,0,,,,,,0,1156,374,1156,374,,,,,1128,360,,0
53,SPRING,WA,7704454,26,,6,,0,,,0,,,,0,,,,,,155,155,38,0,,,,,,0,1667,511,1667,511,,,,,1604,476,,0
54,SPRING,WA,7704221,27,,1,,0,,,0,,,,0,,,,,,206,206,51,0,,,,,,0,2092,425,2092,425,,,,,2007,403,,0
55,SPRING,WA,7703946,31,,4,,0,,,0,,,,0,,,,,,244,244,38,0,,,,,,0,2632,540,2632,540,,,,,2530,523,,0
56,SPRING,WA,7703629,35,,4,,0,,,0,,,,0,,,,,,282,282,38,0,,,,,,0,3673,1041,3673,1041,,,,,3554,1024,,0
57,SPRING,WA,7703249,37,,2,,0,,,0,,,,0,,,,,,343,343,61,0,,,,,,0,5486,1813,5486,1813,,,,,5338,1784,,0
58,SPRING,WA,7702804,40,,3,,0,,,0,,,,0,,,,,,405,405,62,0,,,,,,0,7805,2319,7805,2319,,,,,7605,2267,,0
59,SPRING,WA,7702245,44,,4,,0,,,0,,,,0,,,,,,515,515,110,0,,,,,,0,11614,3809,11614,3809,,,,,11369,3764,,0
60,SPRING,WA,7701550,47,,3,,0,,,0,,,,0,,,,,,648,648,133,0,,,,,,0,15940,4326,15940,4326,,,,,15603,4234,,0
61,SPRING,WA,7700672,51,,4,,0,,,0,,,,0,,,,,,827,827,179,0,,,,,,0,18316,2376,18316,2376,,,,,17932,2329,,0
62,SPRING,WA,7699574,57,,6,,0,,,0,,,,0,,,,,,1041,1041,214,0,,,,,,0,20059,1743,20059,1743,,,,,19621,1689,,0
63,SPRING,WA,7698308,69,,12,,0,,,0,,,,0,,,,,,1197,1197,156,0,,,,,,0,25055,4996,25055,4996,,,,,24516,4895,,0
64,SPRING,WA,7696925,78,,9,,0,,,0,,,,0,,,,,,1305,1305,108,0,,,,,,0,29870,4815,29870,4815,,,,,29154,4638,,0
65,SPRING,WA,7695238,82,,4,,0,,,0,,,,0,,,,,,1605,1605,300,0,,,,,,0,34696,4826,34696,4826,,,,,33894,4740,,0
66,SPRING,WA,7693273,92,,10,,0,,,0,,,,0,,,,,,1873,1873,268,0,,,,,,0,39156,4460,39156,4460,,,,,38444,4550,,0
67,SPRING,WA,7691006,104,,12,,0,,,0,,,,0,,,,,,2163,2163,290,0,,,,,,0,43276,4120,43276,4120,,,,,42505,4061,,0
68,SPRING,WA,7688398,111,,7,,0,,,0,,,,0,,,,,,2497,2497,334,0,,,,,,0,45706,2430,45706,2430,,,,,44847,2342,,0
69,SPRING,WA,7685471,126,,15,,0,,,0,,,,0,,,,,,2801,2801,304,0,,,,,,0,47738,2032,47738,2032,,,,,46735,1888,,0
70,SPRING,WA,7682336,137,,11,,0,,,0,,,,0,,,,,,2998,2998,197,0,,,,,,0,53245,5507,53245,5507,,,,,52038,5303,,0
71,SPRING,WA,7679000,146,,9,,0,,,0,,,,0,,,,,,3190,3190,192,0,,,,,,0,58745,5500,58745,5500,,,,,57265,5227,,0
72,SPRING,WA,7675188,159,,13,,0,,,0,,,,0,,,,,,3653,3653,463,0,,,,,,0,63993,5248,63993,5248,,,,,62272,5007,,0
73,SPRING,WA,7670914,183,,24,,0,,,0,,,,0,,,,,,4091,4091,438,0,,,,,,0,68680,4687,68680,4687,,,,,66743,4471,,0
74,SPRING,WA,7666183,199,,16,,0,,,0,,,,0,,,,,,4532,4532,441,0,,,,,,0,73297,4617,73297,4617,,,,,71103,4360,,0
75,SPRING,WA,7660996,220,,21,,0,,,0,,,,0,,,,,,4967,4967,435,0,,,,,,0,76094,2797,76094,2797,,,,,73704,2601,,0
76,SPRING,WA,7655330,237,,17,,0,,,0,,,,0,,,,,,5429,5429,462,0,,,,,,0,78081,1987,78081,1987,,,,,75537,1833,,0
77,SPRING,WA,7649366,248,,11,,0,,,0,,,,0,,,,,,5716,5716,287,0,,,,,,0,83531,5450,83531,5450,,,,,80687,5150,,0
78,SPRING,WA,7643147,262,,14,,0,,,0,,,,0,,,,,,5957,5957,241,0,,,,,,0,88412,4881,88412,4881,,,,,85393,4706,,0
79,SPRING,WA,7636340,282,,20,,0,,,0,,,,0,,,,,,6525,6525,568,0,,,,,,0,93374,4962,93374,4962,,,,,90110,4717,,0
80,SPRING,WA,7629043,310,,28,,0,,,0,,,,0,,,,,,6987,6987,462,0,,,,,,0,98545,5171,98545,5171,,,,,95017,4907,,0
81,SPRING,WA,7621266,338,,28,,0,,,0,,,,0,,,,,,7439,7439,452,0,,,,,,0,103598,5053,103598,5053,,,,,99871,4854,,0
82,SPRING,WA,7613063,365,,27,,0,,574,0,,174,,0,,,,,,7838,7838,399,0,,,,,,0,106297,2699,106297,2699,,,,,102485,2614,,0
83,SPRING,WA,7604423,386,,21,,0,,581,0,,178,,0,,,,,,8254,8254,416,0,,,,,,0,108393,2096,108393,2096,,,,,104437,1952,,0
84,SPRING,WA,7595555,407,,21,,0,,638,0,,191,,0,,,,,,8461,8461,207,0,,,,,,0,113776,5383,113776,5383,,,,,109573,5136,,0
85,SPRING,WA,7586494,429,,22,,0,,641,0,,190,,0,,,,,,8632,8632,171,0,,,,,,0,119252,5476,119252,5476,,,,,114802,5229,,0
86,SPRING,WA,7577024,443,,14,,0,,655,0,,186,,0,,,,,,9027,9027,395,0,,,,,,0,124317,5065,124317,5065,,,,,119606,4804,,0
87,SPRING,WA,7567125,459,,16,,0,,650,0,,191,,0,,,,,,9440,9440,413,0,,,,,,0,128808,4491,128808,4491,,,,,123912,4306,,0
88,SPRING,WA,7556863,476,,17,,0,,642,0,,191,,0,,,,,,9786,9786,346,0,,,,,,0,133289,4481,133289,4481,,,,,128211,4299,,0
89,SPRING,WA,7546220,494,,18,,0,,649,0,,191,,0,,,,,,10149,10149,363,0,,,,,,0,135476,2187,135476,2187,,,,,130287,2076,,0
90,SPRING,WA,7535253,509,,15,,0,,642,0,,191,,0,,,,,,10458,10458,309,0,,,,,,0,136957,1481,136957,1481,,,,,131718,1431,,0
91,SPRING,WA,7524114,526,,17,,0,,527,0,,166,,0,,,,,,10613,10613,155,0,,,,,,0,141543,4586,141543,4586,,,,,135938,4220,,0
